datetime,open,high,low,close
2023-08-04,1934.12,1947.19495,1929.75,1941.62329
2023-08-07,1942.59497,1946.81458,1931.52502,1936.38708
2023-08-08,1936.76001,1938.1532,1922.5,1924.81506
2023-08-09,1925.16003,1932.47998,1914.04834,1914.58899
2023-08-10,1914.93994,1930.10925,1911.72876,1912.06067
2023-08-11,1912.64502,1921.14502,1910.94495,1913.31824
2023-08-14,1913.66992,1916.54504,1902.19995,1907.90259
2023-08-15,1907.39502,1912.19495,1896.15002,1901.55713
2023-08-16,1901.59497,1907.89502,1891.30005,1891.76221
2023-08-17,1892.20496,1903.89502,1884.5,1888.88733
2023-08-18,1889.495,1897.44495,1886.19995,1888.19336
2023-08-21,1889.40002,1899.04504,1884.5,1893.94495
2023-08-22,1895.09497,1905.04504,1888.59998,1897.00269
2023-08-23,1897.79504,1920.94495,1897.22815,1914.31494
2023-08-24,1914.15002,1923.94495,1911.34998,1916.59705
2023-08-25,1917.79993,1923.09497,1903.40002,1914.52551
2023-08-28,1916.09497,1926.18506,1912.8335,1919.65857
2023-08-29,1920.22998,1938.41125,1914.0,1937.12219
2023-08-30,1937.47998,1949.03625,1934.94495,1942.23987
2023-08-31,1942.60999,1948.19495,1938.86499,1939.74414
2023-09-01,1940.19495,1953.44495,1934.59497,1938.79504
2023-09-04,1940.495,1946.42004,1936.15002,1938.19128
2023-09-05,1938.59497,1939.12561,1925.21753,1925.81116
2023-09-06,1926.16003,1929.79504,1914.80005,1916.27588
